pair_id,cause,effect,prompt
"pair0001,",the altitude,temperature,does changing the altitude cause a change in temperature? Please answer in a single word: Yes or No.
"pair0001,",the temperature,altitude,does changing the temperature cause a change in altitude? Please answer in a single word: Yes or No.
"pair0002,",the altitude,precipitation,does changing the altitude cause a change in precipitation? Please answer in a single word: Yes or No.
"pair0002,",the precipitation,altitude,does changing the precipitation cause a change in altitude? Please answer in a single word: Yes or No.
"pair0003,",the longitude,temperature,does changing the longitude cause a change in temperature? Please answer in a single word: Yes or No.
"pair0003,",the temperature,longitude,does changing the temperature cause a change in longitude? Please answer in a single word: Yes or No.
"pair0004,",the altitude,sunshine hours,does changing the altitude cause a change in sunshine hours? Please answer in a single word: Yes or No.
"pair0004,",the sunshine hours,altitude,does changing the sunshine hours cause a change in altitude? Please answer in a single word: Yes or No.
"pair0005,",the age of an abalone,its length,does changing the age of an abalone cause a change in its length? Please answer in a single word: Yes or No.
"pair0005,",the length of an abalone,its age,does changing the length of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0006,",the age of an abalone,its shell weight,does changing the age of an abalone cause a change in its shell weight? Please answer in a single word: Yes or No.
"pair0006,",the shell weight of an abalone,its age,does changing the shell weight of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0007,",the age of an abalone,its diameter,does changing the age of an abalone cause a change in its diameter? Please answer in a single word: Yes or No.
"pair0007,",the diameter of an abalone,its age,does changing the diameter of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0008,",the age of an abalone,its height,does changing the age of an abalone cause a change in its height? Please answer in a single word: Yes or No.
"pair0008,",the height of an abalone,its age,does changing the height of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0009,",the age of an abalone,its whole weight,does changing the age of an abalone cause a change in its whole weight? Please answer in a single word: Yes or No.
"pair0009,",the whole weight of an abalone,its age,does changing the whole weight of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0010,",the age of an abalone,its shucked weight,does changing the age of an abalone cause a change in its shucked weight? Please answer in a single word: Yes or No.
"pair0010,",the shucked weight of an abalone,its age,does changing the shucked weight of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0011,",the age of an abalone,its viscera weight,does changing the age of an abalone cause a change in its viscera weight? Please answer in a single word: Yes or No.
"pair0011,",the viscera weight of an abalone,its age,does changing the viscera weight of an abalone cause a change in its age? Please answer in a single word: Yes or No.
"pair0012,",the age of a person,their wage per hour,does changing the age of a person cause a change in their wage per hour? Please answer in a single word: Yes or No.
"pair0012,",the wage per hour of a person,their age,does changing the wage per hour of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0013,",the displacement of a car,its fuel consumption,does changing the displacement of a car cause a change in its fuel consumption? Please answer in a single word: Yes or No.
"pair0013,",the fuel consumption of a car,its displacement,does changing the fuel consumption of a car cause a change in its displacement? Please answer in a single word: Yes or No.
"pair0014,",the horse power of a car,its fuel consumption,does changing the horse power of a car cause a change in its fuel consumption? Please answer in a single word: Yes or No.
"pair0014,",the fuel consumption of a car,its horse power,does changing the fuel consumption of a car cause a change in its horse power? Please answer in a single word: Yes or No.
"pair0015,",the weight of a car,its fuel consumption,does changing the weight of a car cause a change in its fuel consumption? Please answer in a single word: Yes or No.
"pair0015,",the fuel consumption of a car,its weight,does changing the fuel consumption of a car cause a change in its weight? Please answer in a single word: Yes or No.
"pair0016,",the horse power of a car,its acceleration,does changing the horse power of a car cause a change in its acceleration? Please answer in a single word: Yes or No.
"pair0016,",the acceleration of a car,its horse power,does changing the acceleration of a car cause a change in its horse power? Please answer in a single word: Yes or No.
"pair0017,",the age of a person,their dividends from stocks,does changing the age of a person cause a change in their dividends from stocks? Please answer in a single word: Yes or No.
"pair0017,",the dividends from stocks of a person,their age,does changing the dividends from stocks of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0018,",the age of a person,their concentration GAG,does changing the age of a person cause a change in their concentration GAG? Please answer in a single word: Yes or No.
"pair0018,",the concentration GAG of a person,their age,does changing the concentration GAG of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0019,",the duration of eruption of a geyser,the time interval before the next eruption,does changing the duration of eruption of a geyser cause a change in the time interval before the next eruption? Please answer in a single word: Yes or No.
"pair0019,",the time interval before the next eruption of a geyser,its duration of eruption,does changing the time interval before the next eruption of a geyser cause a change in its duration of eruption? Please answer in a single word: Yes or No.
"pair0020,",the latitude,temperature,does changing the latitude cause a change in temperature? Please answer in a single word: Yes or No.
"pair0020,",the temperature,latitude,does changing the temperature cause a change in latitude? Please answer in a single word: Yes or No.
"pair0021,",the longitude,precipitation,does changing the longitude cause a change in precipitation? Please answer in a single word: Yes or No.
"pair0021,",the precipitation,longitude,does changing the precipitation cause a change in longitude? Please answer in a single word: Yes or No.
"pair0022,",the age of a person,their height,does changing the age of a person cause a change in their height? Please answer in a single word: Yes or No.
"pair0022,",the height of a person,their age,does changing the height of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0023,",the age of a person,their weight,does changing the age of a person cause a change in their weight? Please answer in a single word: Yes or No.
"pair0023,",the weight of a person,their age,does changing the weight of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0024,",the age of a person,their heart rate,does changing the age of a person cause a change in their heart rate? Please answer in a single word: Yes or No.
"pair0024,",the heart rate of a person,their age,does changing the heart rate of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0025,",the amount of cement in concrete,its compressive strength,does changing the amount of cement in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0025,",the compressive strength of concrete,the amount of cement it contains,does changing the compressive strength of concrete cause a change in the amount of cement it contains? Please answer in a single word: Yes or No.
"pair0026,",the amount of blast furnace slag in concrete,its compressive strength,does changing the amount of blast furnace slag in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0026,",the compressive strength of concrete,the amount of blast furnace slag it contains,does changing the compressive strength of concrete cause a change in the amount of blast furnace slag it contains? Please answer in a single word: Yes or No.
"pair0027,",the amount of fly ash in concrete,its compressive strength,does changing the amount of fly ash in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0027,",the compressive strength of concrete,the amount of fly ash it contains,does changing the compressive strength of concrete cause a change in the amount of fly ash it contains? Please answer in a single word: Yes or No.
"pair0028,",the amount of water in concrete,its compressive strength,does changing the amount of water in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0028,",the compressive strength of concrete,the amount of water it contains,does changing the compressive strength of concrete cause a change in the amount of water it contains? Please answer in a single word: Yes or No.
"pair0029,",the amount of superplasticizer in concrete,its compressive strength,does changing the amount of superplasticizer in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0029,",the compressive strength of concrete,the amount of superplasticizer it contains,does changing the compressive strength of concrete cause a change in the amount of superplasticizer it contains? Please answer in a single word: Yes or No.
"pair0030,",the amount of coarse aggregate in concrete,its compressive strength,does changing the amount of coarse aggregate in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0030,",the compressive strength of concrete,the amount of coarse aggregate it contains,does changing the compressive strength of concrete cause a change in the amount of coarse aggregate it contains? Please answer in a single word: Yes or No.
"pair0031,",the amount of fine aggregate in concrete,its compressive strength,does changing the amount of fine aggregate in concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0031,",the compressive strength of concrete,the amount of fine aggregate it contains,does changing the compressive strength of concrete cause a change in the amount of fine aggregate it contains? Please answer in a single word: Yes or No.
"pair0032,",the age of concrete,its compressive strength,does changing the age of concrete cause a change in its compressive strength? Please answer in a single word: Yes or No.
"pair0032,",the compressive strength of concrete,its age,does changing the compressive strength of concrete cause a change in its age? Please answer in a single word: Yes or No.
"pair0033,",the alcohol consumption of a person,mean corpuscular volume in their blood,does changing the alcohol consumption of a person cause a change in mean corpuscular volume in their blood? Please answer in a single word: Yes or No.
"pair0033,",the mean corpuscular volume in a person's blood,their alcohol consumption,does changing the mean corpuscular volume in a person's blood cause a change in their alcohol consumption? Please answer in a single word: Yes or No.
"pair0034,",the alcohol consumption of a person,alkaline phosphotase in their blood,does changing the alcohol consumption of a person cause a change in alkaline phosphotase in their blood? Please answer in a single word: Yes or No.
"pair0034,",the alkaline phosphotase in a person's blood,their alcohol consumption,does changing the alkaline phosphotase in a person's blood cause a change in their alcohol consumption? Please answer in a single word: Yes or No.
"pair0035,",the alcohol consumption of a person,alanine aminotransferase in their blood,does changing the alcohol consumption of a person cause a change in alanine aminotransferase in their blood? Please answer in a single word: Yes or No.
"pair0035,",the alanine aminotransferase in a person's blood,their alcohol consumption,does changing the alanine aminotransferase in a person's blood cause a change in their alcohol consumption? Please answer in a single word: Yes or No.
"pair0036,",the alcohol consumption of a person,aspartate aminotransferase in their blood,does changing the alcohol consumption of a person cause a change in aspartate aminotransferase in their blood? Please answer in a single word: Yes or No.
"pair0036,",the aspartate aminotransferase in a person's blood,their alcohol consumption,does changing the aspartate aminotransferase in a person's blood cause a change in their alcohol consumption? Please answer in a single word: Yes or No.
"pair0037,",the alcohol consumption of a person,gamma-glutamyl transpeptdase in their blood,does changing the alcohol consumption of a person cause a change in gamma-glutamyl transpeptdase in their blood? Please answer in a single word: Yes or No.
"pair0037,",the gamma-glutamyl transpeptdase in a person's blood,their alcohol consumption,does changing the gamma-glutamyl transpeptdase in a person's blood cause a change in their alcohol consumption? Please answer in a single word: Yes or No.
"pair0038,",the age of a person,their body mass index,does changing the age of a person cause a change in their body mass index? Please answer in a single word: Yes or No.
"pair0038,",the body mass index of a person,their age,does changing the body mass index of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0039,",the age of a person,their serum insulin,does changing the age of a person cause a change in their serum insulin? Please answer in a single word: Yes or No.
"pair0039,",the serum insulin of a person,their age,does changing the serum insulin of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0040,",the age of a person,their diastolic blood pressure,does changing the age of a person cause a change in their diastolic blood pressure? Please answer in a single word: Yes or No.
"pair0040,",the diastolic blood pressure of a person,their age,does changing the diastolic blood pressure of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0041,",the age of a person,their plasma glucose concentration,does changing the age of a person cause a change in their plasma glucose concentration? Please answer in a single word: Yes or No.
"pair0041,",the plasma glucose concentration of a person,their age,does changing the plasma glucose concentration of a person cause a change in their age? Please answer in a single word: Yes or No.
"pair0042,",the day of the year,the temperature,does changing the day of the year cause a change in the temperature? Please answer in a single word: Yes or No.
"pair0042,",the temperature,the day of the year,does changing the temperature cause a change in the day of the year? Please answer in a single word: Yes or No.
"pair0043,",the temperature at time t,the temperature at time t+1,does changing the temperature at time t cause a change in the temperature at time t+1? Please answer in a single word: Yes or No.
"pair0043,",the temperature at time t+1,the temperature at time t,does changing the temperature at time t+1 cause a change in the temperature at time t? Please answer in a single word: Yes or No.
"pair0044,",the pressure at time t,the pressure at time t+1,does changing the pressure at time t cause a change in the pressure at time t+1? Please answer in a single word: Yes or No.
"pair0044,",the pressure at time t+1,the pressure at time t,does changing the pressure at time t+1 cause a change in the pressure at time t? Please answer in a single word: Yes or No.
"pair0045,",the sea level pressure at time t,the sea level pressure at time t+1,does changing the sea level pressure at time t cause a change in the sea level pressure at time t+1? Please answer in a single word: Yes or No.
"pair0045,",the sea level pressure at time t+1,the sea level pressure at time t,does changing the sea level pressure at time t+1 cause a change in the sea level pressure at time t? Please answer in a single word: Yes or No.
"pair0046,",the relative humidity at time t,the relative humidity at time t+1,does changing the relative humidity at time t cause a change in the relative humidity at time t+1? Please answer in a single word: Yes or No.
"pair0046,",the relative humidity at time t+1,the relative humidity at time t,does changing the relative humidity at time t+1 cause a change in the relative humidity at time t? Please answer in a single word: Yes or No.
"pair0047,",the number of cars in traffic,the type of day,does changing the number of cars in traffic cause a change in the type of day? Please answer in a single word: Yes or No.
"pair0047,",the type of day,the number of cars in traffic,does changing the type of day cause a change in the number of cars in traffic? Please answer in a single word: Yes or No.
"pair0048,",the indoor temperature,outdoor temperature,does changing the indoor temperature cause a change in outdoor temperature? Please answer in a single word: Yes or No.
"pair0048,",the outdoor temperature,indoor temperature,does changing the outdoor temperature cause a change in indoor temperature? Please answer in a single word: Yes or No.
"pair0049,","the surface ozone concentration in Lausanne-Cesar-Roux, Switzerland",the temperature there,"does changing the surface ozone concentration in Lausanne-Cesar-Roux, Switzerland cause a change in the temperature there? Please answer in single word: Yes or No."
"pair0049,","the temperature in Lausanne-Cesar-Roux, Switzerland",the surface ozone concentration there,"does changing the temperature in Lausanne-Cesar-Roux, Switzerland cause a change in the surface ozone concentration there? Please answer in single word: Yes or No."
"pair0050,","the surface ozone concentration in Chaumont, Switzerland",the temperature there,"does changing the surface ozone concentration in Chaumont, Switzerland cause a change in the temperature there? Please answer in single word: Yes or No."
"pair0050,","the temperature in Chaumont, Switzerland",the surface ozone concentration there,"does changing the temperature in Chaumont, Switzerland cause a change in the surface ozone concentration there? Please answer in single word: Yes or No."
