pair_id,groundtruth
pair0,Yes
pair0,No
pair1,Yes
pair1,No
pair2,Yes
pair2,No
pair3,Yes
pair3,No
pair4,Yes
pair4,No
pair5,Yes
pair5,No
pair6,Yes
pair6,No
pair7,Yes
pair7,No
pair8,Yes
pair8,No
pair9,Yes
pair9,No
pair10,Yes
pair10,No
pair11,Yes
pair11,No
pair12,Yes
pair12,No
pair13,Yes
pair13,No
pair14,Yes
pair14,No
pair15,Yes
pair15,No
pair16,Yes
pair16,No
pair17,Yes
pair17,No
pair18,Yes
pair18,No
pair19,Yes
pair19,No
pair20,Yes
pair20,No
pair21,Yes
pair21,No
pair22,Yes
pair22,No
pair23,Yes
pair23,No
pair24,Yes
pair24,No
pair25,Yes
pair25,No
pair26,Yes
pair26,No
pair27,Yes
pair27,No
pair28,Yes
pair28,No
pair29,Yes
pair29,No
pair30,Yes
pair30,No
pair31,Yes
pair31,No
pair32,Yes
pair32,No
pair33,Yes
pair33,No
pair34,Yes
pair34,No
pair35,Yes
pair35,No
pair36,Yes
pair36,No
pair37,Yes
pair37,No
pair38,Yes
pair38,No
pair39,Yes
pair39,No
pair40,Yes
pair40,No
pair41,Yes
pair41,No
pair42,Yes
pair42,No
pair43,Yes
pair43,No
pair44,Yes
pair44,No
pair45,Yes
pair45,No
pair46,Yes
pair46,No
pair47,Yes
pair47,No
pair48,Yes
pair48,No
pair49,Yes
pair49,No
pair50,Yes
pair50,No
pair51,Yes
pair51,No
pair52,Yes
pair52,No
pair53,Yes
pair53,No
pair54,Yes
pair54,No
pair55,Yes
pair55,No
pair56,Yes
pair56,No
pair57,Yes
pair57,No
pair58,Yes
pair58,No
pair59,Yes
pair59,No
pair60,Yes
pair60,No
pair61,Yes
pair61,No
pair62,Yes
pair62,No
pair63,Yes
pair63,No
pair64,Yes
pair64,No
pair65,Yes
pair65,No
pair66,Yes
pair66,No
pair67,Yes
pair67,No
pair68,Yes
pair68,No
pair69,Yes
pair69,No
pair70,Yes
pair70,No
pair71,Yes
pair71,No
pair72,Yes
pair72,No
pair73,Yes
pair73,No
pair74,Yes
pair74,No
pair75,Yes
pair75,No
pair76,Yes
pair76,No
pair77,Yes
pair77,No
pair78,Yes
pair78,No
pair79,Yes
pair79,No
pair80,Yes
pair80,No
pair81,Yes
pair81,No
pair82,Yes
pair82,No
pair83,Yes
pair83,No
pair84,Yes
pair84,No
pair85,Yes
pair85,No
pair86,Yes
pair86,No
pair87,Yes
pair87,No
pair88,Yes
pair88,No
pair89,Yes
pair89,No
pair90,Yes
pair90,No
pair91,Yes
pair91,No
pair92,Yes
pair92,No
pair93,Yes
pair93,No
pair94,Yes
pair94,No
pair95,Yes
pair95,No
pair96,Yes
pair96,No
pair97,Yes
pair97,No
pair98,Yes
pair98,No
pair99,Yes
pair99,No
pair100,Yes
pair100,No
pair101,Yes
pair101,No
pair102,Yes
pair102,No
pair103,Yes
pair103,No
pair104,Yes
pair104,No
pair105,Yes
pair105,No
pair106,Yes
pair106,No
pair107,Yes
pair107,No
pair108,Yes
pair108,No
pair109,Yes
pair109,No
pair110,Yes
pair110,No
pair111,Yes
pair111,No
pair112,Yes
pair112,No
pair113,Yes
pair113,No
pair114,Yes
pair114,No
pair115,Yes
pair115,No
pair116,Yes
pair116,No
pair117,Yes
pair117,No
pair118,Yes
pair118,No
pair119,Yes
pair119,No
pair120,Yes
pair120,No
pair121,Yes
pair121,No
pair122,Yes
pair122,No
pair123,Yes
pair123,No
pair124,Yes
pair124,No
pair125,Yes
pair125,No
pair126,Yes
pair126,No
pair127,Yes
pair127,No
pair128,Yes
pair128,No
pair129,Yes
pair129,No
pair130,Yes
pair130,No
pair131,Yes
pair131,No
pair132,Yes
pair132,No
pair133,Yes
pair133,No
pair134,Yes
pair134,No
pair135,Yes
pair135,No
pair136,Yes
pair136,No
pair137,Yes
pair137,No
pair138,Yes
pair138,No
pair139,Yes
pair139,No
pair140,Yes
pair140,No
pair141,Yes
pair141,No
pair142,Yes
pair142,No
pair143,Yes
pair143,No
pair144,Yes
pair144,No
pair145,Yes
pair145,No
pair146,Yes
pair146,No
pair147,Yes
pair147,No
pair148,Yes
pair148,No
pair149,Yes
pair149,No
pair150,Yes
pair150,No
pair151,Yes
pair151,No
pair152,Yes
pair152,No
pair153,Yes
pair153,No
pair154,Yes
pair154,No
pair155,Yes
pair155,No
pair156,Yes
pair156,No
pair157,Yes
pair157,No
pair158,Yes
pair158,No
pair159,Yes
pair159,No
pair160,Yes
pair160,No
pair161,Yes
pair161,No
pair162,Yes
pair162,No
pair163,Yes
pair163,No
pair164,Yes
pair164,No
pair165,Yes
pair165,No
pair166,Yes
pair166,No
pair167,Yes
pair167,No
pair168,Yes
pair168,No
pair169,Yes
pair169,No
pair170,Yes
pair170,No
pair171,Yes
pair171,No
pair172,Yes
pair172,No
pair173,Yes
pair173,No
pair174,Yes
pair174,No
pair175,Yes
pair175,No
pair176,Yes
pair176,No
pair177,Yes
pair177,No
pair178,Yes
pair178,No
pair179,Yes
pair179,No
pair180,Yes
pair180,No
pair181,Yes
pair181,No
pair182,Yes
pair182,No
pair183,Yes
pair183,No
pair184,Yes
pair184,No
pair185,Yes
pair185,No
pair186,Yes
pair186,No
pair187,Yes
pair187,No
pair188,Yes
pair188,No
pair189,Yes
pair189,No
pair190,Yes
pair190,No
pair191,Yes
pair191,No
pair192,Yes
pair192,No
pair193,Yes
pair193,No
pair194,Yes
pair194,No
pair195,Yes
pair195,No
pair196,Yes
pair196,No
pair197,Yes
pair197,No
pair198,Yes
pair198,No
pair199,Yes
pair199,No
pair200,Yes
pair200,No
pair201,Yes
pair201,No
pair202,Yes
pair202,No
pair203,Yes
pair203,No
pair204,Yes
pair204,No
pair205,Yes
pair205,No
pair206,Yes
pair206,No
pair207,Yes
pair207,No
pair208,Yes
pair208,No
pair209,Yes
pair209,No
pair210,Yes
pair210,No
pair211,Yes
pair211,No
pair212,Yes
pair212,No
pair213,Yes
pair213,No
pair214,Yes
pair214,No
pair215,Yes
pair215,No
pair216,Yes
pair216,No
pair217,Yes
pair217,No
pair218,Yes
pair218,No
pair219,Yes
pair219,No
pair220,Yes
pair220,No
pair221,Yes
pair221,No
pair222,Yes
pair222,No
pair223,Yes
pair223,No
pair224,Yes
pair224,No
pair225,Yes
pair225,No
pair226,Yes
pair226,No
pair227,Yes
pair227,No
pair228,Yes
pair228,No
pair229,Yes
pair229,No
pair230,Yes
pair230,No
pair231,Yes
pair231,No
pair232,Yes
pair232,No
pair233,Yes
pair233,No
pair234,Yes
pair234,No
pair235,Yes
pair235,No
pair236,Yes
pair236,No
pair237,Yes
pair237,No
pair238,Yes
pair238,No
pair239,Yes
pair239,No
pair240,Yes
pair240,No
pair241,Yes
pair241,No
pair242,Yes
pair242,No
pair243,Yes
pair243,No
pair244,Yes
pair244,No
pair245,Yes
pair245,No
pair246,Yes
pair246,No
pair247,Yes
pair247,No
pair248,Yes
pair248,No
pair249,Yes
pair249,No
pair250,Yes
pair250,No
pair251,Yes
pair251,No
pair252,Yes
pair252,No
pair253,Yes
pair253,No
pair254,Yes
pair254,No
pair255,Yes
pair255,No
pair256,Yes
pair256,No
pair257,Yes
pair257,No
pair258,Yes
pair258,No
pair259,Yes
pair259,No
pair260,Yes
pair260,No
pair261,Yes
pair261,No
pair262,Yes
pair262,No
pair263,Yes
pair263,No
pair264,Yes
pair264,No
pair265,Yes
pair265,No
pair266,Yes
pair266,No
pair267,Yes
pair267,No
pair268,Yes
pair268,No
pair269,Yes
pair269,No
pair270,Yes
pair270,No
pair271,Yes
pair271,No
pair272,Yes
pair272,No
pair273,Yes
pair273,No
pair274,Yes
pair274,No
pair275,Yes
pair275,No
pair276,Yes
pair276,No
pair277,Yes
pair277,No
pair278,Yes
pair278,No
pair279,Yes
pair279,No
pair280,Yes
pair280,No
pair281,Yes
pair281,No
pair282,Yes
pair282,No
pair283,Yes
pair283,No
pair284,Yes
pair284,No
pair285,Yes
pair285,No
pair286,Yes
pair286,No
pair287,Yes
pair287,No
pair288,Yes
pair288,No
pair289,Yes
pair289,No
pair290,Yes
pair290,No
pair291,Yes
pair291,No
pair292,Yes
pair292,No
pair293,Yes
pair293,No
pair294,Yes
pair294,No
pair295,Yes
pair295,No
pair296,Yes
pair296,No
pair297,Yes
pair297,No
pair298,Yes
pair298,No
pair299,Yes
pair299,No
pair300,Yes
pair300,No
pair301,Yes
pair301,No
pair302,Yes
pair302,No
pair303,Yes
pair303,No
pair304,Yes
pair304,No
pair305,Yes
pair305,No
pair306,Yes
pair306,No
