pair_id,cause,effect,cause1,cause2,effect1,effect2
"pair0001,",the altitude|the temperature,temperature|altitude,the altitude,the temperature,temperature,altitude
"pair0002,",the altitude|the precipitation,precipitation|altitude,the altitude,the precipitation,precipitation,altitude
"pair0003,",the longitude|the temperature,temperature|longitude,the longitude,the temperature,temperature,longitude
"pair0004,",the altitude|the sunshine hours,sunshine hours|altitude,the altitude,the sunshine hours,sunshine hours,altitude
"pair0005,",the age of an abalone|the length of an abalone,its length|its age,the age of an abalone,the length of an abalone,its length,its age
"pair0006,",the age of an abalone|the shell weight of an abalone,its shell weight|its age,the age of an abalone,the shell weight of an abalone,its shell weight,its age
"pair0007,",the age of an abalone|the diameter of an abalone,its diameter|its age,the age of an abalone,the diameter of an abalone,its diameter,its age
"pair0008,",the age of an abalone|the height of an abalone,its height|its age,the age of an abalone,the height of an abalone,its height,its age
"pair0009,",the age of an abalone|the whole weight of an abalone,its whole weight|its age,the age of an abalone,the whole weight of an abalone,its whole weight,its age
"pair0010,",the age of an abalone|the shucked weight of an abalone,its shucked weight|its age,the age of an abalone,the shucked weight of an abalone,its shucked weight,its age
"pair0011,",the age of an abalone|the viscera weight of an abalone,its viscera weight|its age,the age of an abalone,the viscera weight of an abalone,its viscera weight,its age
"pair0012,",the age of a person|the wage per hour of a person,their wage per hour|their age,the age of a person,the wage per hour of a person,their wage per hour,their age
"pair0013,",the displacement of a car|the fuel consumption of a car,its fuel consumption|its displacement,the displacement of a car,the fuel consumption of a car,its fuel consumption,its displacement
"pair0014,",the horse power of a car|the fuel consumption of a car,its fuel consumption|its horse power,the horse power of a car,the fuel consumption of a car,its fuel consumption,its horse power
"pair0015,",the weight of a car|the fuel consumption of a car,its fuel consumption|its weight,the weight of a car,the fuel consumption of a car,its fuel consumption,its weight
"pair0016,",the horse power of a car|the acceleration of a car,its acceleration|its horse power,the horse power of a car,the acceleration of a car,its acceleration,its horse power
"pair0017,",the age of a person|the dividends from stocks of a person,their dividends from stocks|their age,the age of a person,the dividends from stocks of a person,their dividends from stocks,their age
"pair0018,",the age of a person|the concentration GAG of a person,their concentration GAG|their age,the age of a person,the concentration GAG of a person,their concentration GAG,their age
"pair0019,",the duration of eruption of a geyser|the time interval before the next eruption of a geyser,the time interval before the next eruption|its duration of eruption,the duration of eruption of a geyser,the time interval before the next eruption of a geyser,the time interval before the next eruption,its duration of eruption
"pair0020,",the latitude|the temperature,temperature|latitude,the latitude,the temperature,temperature,latitude
"pair0021,",the longitude|the precipitation,precipitation|longitude,the longitude,the precipitation,precipitation,longitude
"pair0022,",the age of a person|the height of a person,their height|their age,the age of a person,the height of a person,their height,their age
"pair0023,",the age of a person|the weight of a person,their weight|their age,the age of a person,the weight of a person,their weight,their age
"pair0024,",the age of a person|the heart rate of a person,their heart rate|their age,the age of a person,the heart rate of a person,their heart rate,their age
"pair0025,",the amount of cement in concrete|the compressive strength of concrete,its compressive strength|the amount of cement it contains,the amount of cement in concrete,the compressive strength of concrete,its compressive strength,the amount of cement it contains
