pair_id,prompt,groundtruth
pair0,Does Right C7 Radiculopathy cause Right Shoulder pain? Please answer in a single word: Yes or No.,Yes
pair0,Does Right Shoulder pain cause Right C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair1,Does Left L5 Radiculopathy cause Left Leg pain? Please answer in a single word: Yes or No.,Yes
pair1,Does Left Leg pain cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair2,Does Right C6 Radiculopathy cause Right neck? Please answer in a single word: Yes or No.,Yes
pair2,Does Right neck cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair3,Does Left L4 Radiculopathy cause Left Hip joint? Please answer in a single word: Yes or No.,Yes
pair3,Does Left Hip joint cause Left L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair4,Does Right L1 Radiculopathy cause Right Lateral groin pain? Please answer in a single word: Yes or No.,Yes
pair4,Does Right Lateral groin pain cause Right L1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair5,Does Left T5 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair5,Does Breast Backache cause Left T5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair6,Does Right L4 Radiculopathy cause lumbago? Please answer in a single word: Yes or No.,Yes
pair6,Does lumbago cause Right L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair7,Does DLS C6-C7 cause Left C7 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair7,Does Left C7 Radiculopathy cause DLS C6-C7? Please answer in a single word: Yes or No.,No
pair8,Does Left L4 Radiculopathy cause Left Front knee pain? Please answer in a single word: Yes or No.,Yes
pair8,Does Left Front knee pain cause Left L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair9,Does Left L5 Radiculopathy cause Left Footstool trouble? Please answer in a single word: Yes or No.,Yes
pair9,Does Left Footstool trouble cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair10,Does Left T4 Radiculopathy cause Toracal dysfunction? Please answer in a single word: Yes or No.,Yes
pair10,Does Toracal dysfunction cause Left T4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair11,Does Left C6 Radiculopathy cause Left Shoulder trouble? Please answer in a single word: Yes or No.,Yes
pair11,Does Left Shoulder trouble cause Left C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair12,Does Left C4 Radiculopathy cause Central chest pain? Please answer in a single word: Yes or No.,Yes
pair12,Does Central chest pain cause Left C4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair13,Does Left L2 Radiculopathy cause Left Adductor tendon? Please answer in a single word: Yes or No.,Yes
pair13,Does Left Adductor tendon cause Left L2 Radiculopathy? Please answer in a single word: Yes or No.,No
