pair_id,prompt
0,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice (AF) and Bob (BF) each fire a bullet at a window, simultaneously striking the window, shattering it (WS).		Is Alice a necessary cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
1,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice fills a sink with water. At each time interval Alice adds another drop of water. At one point the sink overflows.		Is the last droplet a necessary cause for  sink overflow?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
2,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input:  Alice flicks a switch (AF). The train travels on track A (TA), otherwise the train would have travelled on track B (TB). Assuming that neither track A (BA) nor track B (BB) are blocked, the train arrives at its destination (TD) in either of the two cases.		Is Alice a necessary cause for train arriving at its destination?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
3,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input:  Alice pushes Bob. Therefore, Bob is hit by a truck. Bob dies. Otherwise, Bob would have been hit by a bus, which would have killed him as well.		Is Alice a necessary cause for Bob's death?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
4,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice (AF) and Bob (BF) each fire a bullet at a window. Alice's bullet hits the window first (AH). The window shatters (WS). Bob's bullet arrives second and does not hit the window (BH).		Is Alice a necessary cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
5,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice fires a bullet at the window (AF). If Alice hits the window (AH), the window shatters (WS). If Alice does not hit the window, Bob fires a bullet at the window (BF), hitting it (BH) leading to its shattering.		Is Alice a necessary cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
6,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input:Suppose Alice reaches out and catches a passing cricket ball. The next thing on the ball’s trajectory was a solid brick wall that would have stopped the ball. Beyond that there was a window.		Is Alice a necessary cause for window being intact?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
7,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Two two-state switches are wired to an electrode. The switches are controlled by A and B respectively, and the electrode is attached to C. A has the first option to flip her switch. B has the second option to flip her switch. The electrode is activated and shocks C if both switches are in the same position. B wants to shock C, and so flips her switch iff A does. C gets an electric shock.		Is A's action to flip the switch a necessary cause for C getting shocked?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
8,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice intends to fire a bullet at a window (AI). Bob intends to prevent Alice from hitting the window (BI). Bob tries to stop Alice (BSA). Bob is stopped by Carol (CSB). Alice fires a bullet (AF), hits the window (AH) and shatters it (WS). The window shatters (WS).		Is Alice a necessary cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
9,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice intents to put lethal poison into Carol's water. However, Alice does not put lethal poison into Carol's water (¬AP). Bob puts an antidote into Carol's water (BA). The water is lethal (L), if the poison is added without the addition of an antidote. If Carol would consumes the lethal water she would die (CD). Carol consumes her water (CC). Carol does not die (¬CD).		Is Alice a necessary cause for Carol's survival?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
10,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Carol is alive (CA). Alice puts a harmless antidote in Carol's water (AA). Adding antidote to the water, protects it against poison (WS - 'water save'). If Alice puts the antidote into Carol’s water, Bob will poison the water (BP) Adding poison to an unprotected water makes it toxic (WT). If Carol would drink toxic water she would die (i.e. inhibiting CS). Carol consumes her water and survives (CS).		Is Alice a necessary cause for Carol's survival?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
11,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Alice (AF) and Bob (BF) each fire a bullet at a window, simultaneously striking the window. The window only shatters (WS), if it is hit by two bullets.		Is Alice a necessary cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
12,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: There are a left and a right window. Alice and Bob both order Carol to fire at the left window. Carol fires at the left window, shattering it. Commands from Alice always trump commands form Bob (e.g. if Bob would have ordered to fire at right window, Carol would still have fired at the left one.). Without a command Carol would not have fired at all.		Is Alice a necessary cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
13,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: If there is hot weather, flowers will die. Watering prevents the flowers to die in hot weather. The neighbor does not water the flowers in her yard. The flowers die.		Is neighbor's inaction a necessary cause for flowers' death?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
14,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: A boulder slides toward a hiker, who, seeing it, ducks. The boulder misses him and he survives.		Is the boulder sliding a necessary cause for hiker's survival?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
0,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Alice (AF) and Bob (BF) each fire a bullet at a window, simultaneously striking the window, shattering it (WS).		Is Alice a sufficient cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
1,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Alice fills a sink with water. At each time interval Alice adds another drop of water. At one point the sink overflows.		Is the last droplet a sufficient cause for  sink overflow?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
2,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input:  Alice flicks a switch (AF). The train travels on track A (TA), otherwise the train would have travelled on track B (TB). Assuming that neither track A (BA) nor track B (BB) are blocked, the train arrives at its destination (TD) in either of the two cases.		Is Alice a sufficient cause for train arriving at its destination?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
3,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input:  Alice pushes Bob. Therefore, Bob is hit by a truck. Bob dies. Otherwise, Bob would have been hit by a bus, which would have killed him as well.		Is Alice a sufficient cause for Bob's death?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
4,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Alice (AF) and Bob (BF) each fire a bullet at a window. Alice's bullet hits the window first (AH). The window shatters (WS). Bob's bullet arrives second and does not hit the window (BH).		Is Alice a sufficient cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
5,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Alice fires a bullet at the window (AF). If Alice hits the window (AH), the window shatters (WS). If Alice does not hit the window, Bob fires a bullet at the window (BF), hitting it (BH) leading to its shattering.		Is Alice a sufficient cause for window shattering?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
6,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input:Suppose Alice reaches out and catches a passing cricket ball. The next thing on the ball’s trajectory was a solid brick wall that would have stopped the ball. Beyond that there was a window.		Is Alice a sufficient cause for window being intact?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
