pair_id,pair_id_type,ans_type,groundtruth
0,Symmetric Overdetermination,nec,No
1,Symmetric Overdetermination,nec,Yes
2,Switch,nec,No
3,Switch,nec,No
4,Late Preemption,nec,No
5,Early Preemption,nec,No
6,Early Preemption,nec,No
7,Double Preemption,nec,Yes
8,Bogus Preemption,nec,No
9,Short Circuit,nec,No
10,Miscellaneous,nec,Yes
11,Miscellaneous,nec,Yes
12,Miscellaneous,nec,Yes
13,Miscellaneous,nec,No
0,Symmetric Overdetermination,suff,Yes 
1,Symmetric Overdetermination,suff,No 
2,Switch,suff,No
3,Switch,suff,Yes
4,Late Preemption,suff,Yes 
5,Early Preemption,suff,Yes
6,Early Preemption,suff,Yes
7,Double Preemption,suff,No 
8,Bogus Preemption,suff,Yes 
9,Short Circuit,suff,Yes
10,Miscellaneous,suff,No
11,Miscellaneous,suff,Yes
12,Miscellaneous,suff,Yes
13,Miscellaneous,suff,No
