pair_id,groundtruth
pair0,A
pair1,A
pair2,A
pair3,A
pair4,A
pair5,A
pair6,A
pair7,A
pair8,A
pair9,A
pair10,A
pair11,A
pair12,A
pair13,A
pair14,A
pair15,A
pair16,A
pair17,A
pair18,A
pair19,A
pair20,A
pair21,A
pair22,A
pair23,A
pair24,A
pair25,A
pair26,A
pair27,A
pair28,A
pair29,A
pair30,A
pair31,A
pair32,A
pair33,A
pair34,A
pair35,A
pair36,A
pair37,A
pair38,A
pair39,A
pair40,A
pair41,A
pair42,A
pair43,A
pair44,A
pair45,A
pair46,A
pair47,A
pair48,A
pair49,A
pair50,C
pair51,C
pair52,C
pair53,C
pair54,C
pair55,C
pair56,C
pair57,C
pair58,C
pair59,C
pair60,C
pair61,C
pair62,C
pair63,C
pair64,C
pair65,C
pair66,C
pair67,C
pair68,C
pair69,C
pair70,C
pair71,C
pair72,C
pair73,C
pair74,C
pair75,C
pair76,C
pair77,C
pair78,C
pair79,C
pair80,C
pair81,C
pair82,C
pair83,C
pair84,C
pair85,C
pair86,C
pair87,C
pair88,C
pair89,C
pair90,C
pair91,C
pair92,C
pair93,C
pair94,C
pair95,C
pair96,C
pair97,C
pair98,C
pair99,C
