,cause,effect,Query,Answer
11405,Huvudvärk,L Axel impingement,"Huvudvärk causes L Axel impingement.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
1008,L C6 Radikulopati,L S2 Radikulopati,"L C6 Radikulopati causes L S2 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
14590,R Främre Axelbesvär,Bukbesvär,"R Främre Axelbesvär causes Bukbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
34803,R Achillodyni,L Nackbesvär,"R Achillodyni causes L Nackbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
2829,R T2 Radikulopati,R Tibiaperialgi,"R T2 Radikulopati causes R Tibiaperialgi.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
28895,L Fotvalvsbesvär,R Tumbesvär,"L Fotvalvsbesvär causes R Tumbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
28017,L Stortårbesvär,L Achillesbesvär,"L Stortårbesvär causes L Achillesbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
20286,R Mediala armbågsbesvär,R Främre lårbesvär,"R Mediala armbågsbesvär causes R Främre lårbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
1214,R C6 Radikulopati,L Pannhuvudvärk,"R C6 Radikulopati causes L Pannhuvudvärk.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
24131,R Främre lårbesvär,R Mediala vadbesvär,"R Främre lårbesvär causes R Mediala vadbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
14050,L Central bröstsmärta,L T12 Radikulopati,"L Central bröstsmärta causes L T12 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
8484,R L5 Radikulopati,L L1 Radikulopati,"R L5 Radikulopati causes L L1 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
3783,L T5 Radikulopati,R Höftkamsbesvär,"L T5 Radikulopati causes R Höftkamsbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
28355,L Fotbesvär,R Mediala vadbesvär,"L Fotbesvär causes R Mediala vadbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
26588,R Främre knäbesvär,R Armbågsbesvär,"R Främre knäbesvär causes R Armbågsbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
34607,R Achillestendalgi,R S1 Radikulopati,"R Achillestendalgi causes R S1 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
29625,L Ischias,R Tinnitus,"L Ischias causes R Tinnitus.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
9161,L S2 Radikulopati,L Främre knäbesvär,"L S2 Radikulopati causes L Främre knäbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
31933,R Laterala knäbesvär,L Käkbesvär,"R Laterala knäbesvär causes L Käkbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
31877,R Laterala knäbesvär,R C5 Radikulopati,"R Laterala knäbesvär causes R C5 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
26400,R Mediala knäledsbesvär,L Handledsbesvär,"R Mediala knäledsbesvär causes L Handledsbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
16878,L Laterala armbågsbesvär,Coccydyni,"L Laterala armbågsbesvär causes Coccydyni.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
24698,L Lårbesvär,L Lumbago,"L Lårbesvär causes L Lumbago.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
26458,R Mediala knäledsbesvär,R Tåledbesvär,"R Mediala knäledsbesvär causes R Tåledbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
33258,Coccydyni,L L4 Radikulopati,"Coccydyni causes L L4 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
30279,L Vadbesvär,R Höftkamsbesvär,"L Vadbesvär causes R Höftkamsbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
6384,L T12 Radikulopati,L S2 Radikulopati,"L T12 Radikulopati causes L S2 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
835,R C5 Radikulopati,Svalgbesvär,"R C5 Radikulopati causes Svalgbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
6771,L L1 Radikulopati,L Nackbesvär,"L L1 Radikulopati causes L Nackbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
14423,R Främre Axelbesvär,R T6 Radikulopati,"R Främre Axelbesvär causes R T6 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
5754,L T10 Radikulopati,R Bröstbesvär,"L T10 Radikulopati causes R Bröstbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
1400,L C7 Radikulopati,L Öronbesvär,"L C7 Radikulopati causes L Öronbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
10540,L Ögonbesvär,Hälbesvär,"L Ögonbesvär causes Hälbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
34362,L Achillodyni,R Bröstbesvär,"L Achillodyni causes R Bröstbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
22386,L Adduktortendalgi,Centrala Ljumskbesvär,"L Adduktortendalgi causes Centrala Ljumskbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
21624,L Laterala ljumskbesvär,L Bakhuvudvärk,"L Laterala ljumskbesvär causes L Bakhuvudvärk.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
22186,R Ljumskbesvär,R Mediala armbågsbesvär,"R Ljumskbesvär causes R Mediala armbågsbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
15922,L Övre armsbesvär,L Achillestendalgi,"L Övre armsbesvär causes L Achillestendalgi.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
8146,R L4 Radikulopati,R Skulderbesvär,"R L4 Radikulopati causes R Skulderbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
34218,L Achillodyni,L L4 Radikulopati,"L Achillodyni causes L L4 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
8353,L L5 Radikulopati,R Handledsbesvär,"L L5 Radikulopati causes R Handledsbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
23932,L Främre lårbesvär,R Lumbago,"L Främre lårbesvär causes R Lumbago.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
27104,L Laterala vadbesvär,L T11 Radikulopati,"L Laterala vadbesvär causes L T11 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
5395,R T9 Radikulopati,R T4 Radikulopati,"R T9 Radikulopati causes R T4 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
1614,R C7 Radikulopati,R Axel impingement,"R C7 Radikulopati causes R Axel impingement.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
14058,L Central bröstsmärta,L L4 Radikulopati,"L Central bröstsmärta causes L L4 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
4300,R T6 Radikulopati,R Främre Axelbesvär,"R T6 Radikulopati causes R Främre Axelbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
22798,L Höftbesvär,L Laterala vadbesvär,"L Höftbesvär causes L Laterala vadbesvär.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
12506,R PFS,L T8 Radikulopati,"R PFS causes L T8 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
8852,R S1 Radikulopati,L T5 Radikulopati,"R S1 Radikulopati causes L T5 Radikulopati.""R"" and ""L"" refer to the right and left sides of the body, respectively).Answer with true or false.",False
